TIME,GEO,Value,Scaled_Values,Scaled_Values1
2000,European Union (28 countries),0.0,0.0,-3.087944744882857
2001,European Union (28 countries),0.0,0.0,-3.087944744882857
2002,European Union (28 countries),5.0,0.5675368898978433,0.06798396427647432
2003,European Union (28 countries),5.03,0.5709421112372304,0.08691953653143047
2004,European Union (28 countries),4.95,0.5618615209988649,0.03642467718488113
2005,European Union (28 countries),4.92,0.5584562996594779,0.01748910492992498
2006,European Union (28 countries),4.91,0.5573212258796821,0.011177247511606451
2007,European Union (28 countries),4.92,0.5584562996594779,0.01748910492992498
2008,European Union (28 countries),5.04,0.5720771850170261,0.093231393949749
2009,European Union (28 countries),5.38,0.6106696935300794,0.30783454617258343
2010,European Union (28 countries),5.41,0.6140749148694665,0.3267701184275396
2011,European Union (28 countries),5.25,0.5959137343927355,0.2257803997344409
2000,European Union (27 countries),4.91,0.5573212258796821,0.011177247511606451
2001,European Union (27 countries),4.99,0.5664018161180476,0.0616721068581558
2002,European Union (27 countries),5.0,0.5675368898978433,0.06798396427647432
2003,European Union (27 countries),5.04,0.5720771850170261,0.093231393949749
2004,European Union (27 countries),4.95,0.5618615209988649,0.03642467718488113
2005,European Union (27 countries),4.92,0.5584562996594779,0.01748910492992498
2006,European Union (27 countries),4.91,0.5573212258796821,0.011177247511606451
2007,European Union (27 countries),4.93,0.5595913734392735,0.02380096234824351
2008,European Union (27 countries),5.04,0.5720771850170261,0.093231393949749
2009,European Union (27 countries),5.38,0.6106696935300794,0.30783454617258343
2010,European Union (27 countries),5.41,0.6140749148694665,0.3267701184275396
2011,European Union (27 countries),5.25,0.5959137343927355,0.2257803997344409
2000,European Union (25 countries),4.94,0.5607264472190693,0.030112819766562597
2001,European Union (25 countries),5.02,0.5698070374574347,0.08060767911311138
2002,European Union (25 countries),5.03,0.5709421112372304,0.08691953653143047
2003,European Union (25 countries),5.06,0.5743473325766174,0.10585510878638606
2004,European Union (25 countries),4.98,0.565266742338252,0.05536024943983727
2005,European Union (25 countries),4.95,0.5618615209988649,0.03642467718488113
2006,European Union (25 countries),4.93,0.5595913734392735,0.02380096234824351
2007,European Union (25 countries),4.95,0.5618615209988649,0.03642467718488113
2008,European Union (25 countries),5.06,0.5743473325766174,0.10585510878638606
2009,European Union (25 countries),5.41,0.6140749148694665,0.3267701184275396
2010,European Union (25 countries),5.46,0.6197502837684449,0.3583294055191328
2011,European Union (25 countries),5.31,0.6027241770715096,0.2636515442443526
2000,Euro area (18 countries),0.0,0.0,-3.087944744882857
2001,Euro area (18 countries),0.0,0.0,-3.087944744882857
2002,Euro area (18 countries),4.87,0.5527809307604994,-0.014070182161668223
2003,Euro area (18 countries),4.89,0.5550510783200907,-0.001446467325031166
2004,Euro area (18 countries),4.8,0.5448354143019296,-0.05825318408989904
2005,Euro area (18 countries),4.72,0.5357548240635641,-0.1087480434364484
2006,Euro area (18 countries),4.69,0.5323496027241771,-0.12768361569140396
2007,Euro area (18 countries),4.79,0.5437003405221339,-0.06456504150821757
2008,Euro area (18 countries),4.94,0.5607264472190693,0.030112819766562597
2009,Euro area (18 countries),5.31,0.6027241770715096,0.2636515442443526
2010,Euro area (18 countries),5.28,0.5993189557321226,0.24471597198939704
2011,Euro area (18 countries),5.15,0.5845629965947786,0.1626618255512545
2000,Euro area (17 countries),0.0,0.0,-3.087944744882857
2001,Euro area (17 countries),0.0,0.0,-3.087944744882857
2002,Euro area (17 countries),4.86,0.5516458569807038,-0.02038203957998675
2003,Euro area (17 countries),4.89,0.5550510783200907,-0.001446467325031166
2004,Euro area (17 countries),4.8,0.5448354143019296,-0.05825318408989904
2005,Euro area (17 countries),4.72,0.5357548240635641,-0.1087480434364484
2006,Euro area (17 countries),4.69,0.5323496027241771,-0.12768361569140396
2007,Euro area (17 countries),4.79,0.5437003405221339,-0.06456504150821757
2008,Euro area (17 countries),4.94,0.5607264472190693,0.030112819766562597
2009,Euro area (17 countries),5.31,0.6027241770715096,0.2636515442443526
2010,Euro area (17 countries),5.28,0.5993189557321226,0.24471597198939704
2011,Euro area (17 countries),5.15,0.5845629965947786,0.1626618255512545
2000,Euro area (15 countries),0.0,0.0,-3.087944744882857
2001,Euro area (15 countries),4.98,0.565266742338252,0.05536024943983727
2002,Euro area (15 countries),5.01,0.568671963677639,0.07429582169479286
2003,Euro area (15 countries),5.04,0.5720771850170261,0.093231393949749
2004,Euro area (15 countries),4.96,0.5629965947786606,0.042736534603199657
2005,Euro area (15 countries),4.89,0.5550510783200907,-0.001446467325031166
2006,Euro area (15 countries),4.87,0.5527809307604994,-0.014070182161668223
2007,Euro area (15 countries),4.81,0.5459704880817252,-0.051941326671580516
2008,Euro area (15 countries),4.95,0.5618615209988649,0.03642467718488113
2009,Euro area (15 countries),5.32,0.6038592508513053,0.26996340166267174
2010,Euro area (15 countries),5.29,0.6004540295119183,0.25102782940771556
2011,Euro area (15 countries),5.16,0.5856980703745743,0.16897368296957302
2000,Euro area (13 countries),0.0,0.0,-3.087944744882857
2001,Euro area (13 countries),4.97,0.5641316685584562,0.04904839202151818
2002,Euro area (13 countries),5.0,0.5675368898978433,0.06798396427647432
2003,Euro area (13 countries),5.04,0.5720771850170261,0.093231393949749
2004,Euro area (13 countries),4.95,0.5618615209988649,0.03642467718488113
2005,Euro area (13 countries),4.89,0.5550510783200907,-0.001446467325031166
2006,Euro area (13 countries),4.87,0.5527809307604994,-0.014070182161668223
2007,Euro area (13 countries),4.8,0.5448354143019296,-0.05825318408989904
2008,Euro area (13 countries),4.94,0.5607264472190693,0.030112819766562597
2009,Euro area (13 countries),5.32,0.6038592508513053,0.26996340166267174
2010,Euro area (13 countries),5.28,0.5993189557321226,0.24471597198939704
2011,Euro area (13 countries),5.15,0.5845629965947786,0.1626618255512545
2000,Belgium,0.0,0.0,-3.087944744882857
2001,Belgium,5.99,0.6799091940976163,0.6928578486900221
2002,Belgium,6.09,0.6912599318955731,0.7559764228732085
2003,Belgium,6.02,0.6833144154370033,0.7117934209449777
